model,layer,real_score,null_mean,null_std,p_value,z_score
gpt2,1,-0.28543591,-0.4311885,0.031464998,0.000999000999000999,4.632213
gpt2,2,-0.3162681,-0.49227545,0.042715028,0.001998001998001998,4.120502
gpt2,3,-0.31915957,-0.5025584,0.04922281,0.001998001998001998,3.7258916
gpt2,4,-0.30133188,-0.48289576,0.050789148,0.001998001998001998,3.5748558
gpt2,5,-0.28530023,-0.46489245,0.052022934,0.001998001998001998,3.452174
gpt2,6,-0.28169596,-0.46051997,0.05208357,0.001998001998001998,3.4334054
gpt2,7,-0.27032685,-0.44415438,0.05301824,0.001998001998001998,3.2786365
gpt2,8,-0.27205265,-0.43558338,0.052874126,0.001998001998001998,3.0928311
gpt2,9,-0.26646215,-0.427532,0.052591067,0.001998001998001998,3.0626843
gpt2,10,-0.25874093,-0.41587505,0.052233413,0.001998001998001998,3.0083065
gpt2,11,-0.2651651,-0.41292524,0.050202984,0.002997002997002997,2.9432545
gpt2,12,-0.43508732,-0.47998503,0.03117223,0.08091908091908091,1.4403108
