model,layer,normalized_layer,mean_tci,lower_ci,upper_ci
gpt2,1,0.0,0.1275147909919421,0.09111146988968055,0.16678568770488103
gpt2,2,0.09090909090909091,0.13804488331079484,0.09928572353389528,0.17881206120053925
gpt2,3,0.18181818181818182,0.11874776035547256,0.08924832131299708,0.1503153290475408
gpt2,4,0.2727272727272727,0.11783881601360109,0.09070227224793699,0.14826659582555293
gpt2,5,0.36363636363636365,0.1152909850080808,0.09261850400517385,0.14047837120791273
gpt2,6,0.45454545454545453,0.10788911332686742,0.087311490604447,0.1309477689034409
gpt2,7,0.5454545454545454,0.10573550628291237,0.08820322922534414,0.1252857375062174
gpt2,8,0.6363636363636364,0.10619408223364088,0.08965447056624624,0.12451247365110449
gpt2,9,0.7272727272727273,0.10271864268514845,0.08692427744468054,0.11940284861458672
gpt2,10,0.8181818181818182,0.0991627014345593,0.08195779134829839,0.1174100396492415
gpt2,11,0.9090909090909091,0.0977755520078871,0.07822138478772508,0.11792763458771838
gpt2,12,1.0,0.025918885154856575,0.018965830350708632,0.03291304224067264
qwen2.5,1,0.0,0.1458518918355306,0.10039114824930827,0.19089303545157113
qwen2.5,2,0.037037037037037035,0.1707545534769694,0.12613196345170338,0.2153027802805106
qwen2.5,3,0.07407407407407407,0.17417391697565715,0.130817342599233,0.21818307187159855
qwen2.5,4,0.1111111111111111,0.17298226714134216,0.13239568200707438,0.21464110778768855
qwen2.5,5,0.14814814814814814,0.17669930895169575,0.13452064821124082,0.22011102484663328
qwen2.5,6,0.18518518518518517,0.1816358764966329,0.13777766536672914,0.22698580356438952
qwen2.5,7,0.2222222222222222,0.18933643380800882,0.14336324831843375,0.2366898494362831
qwen2.5,8,0.25925925925925924,0.18726831396420796,0.1450249422490597,0.23095690116286277
qwen2.5,9,0.2962962962962963,0.18509293993314108,0.14589963987469676,0.2258435357908408
qwen2.5,10,0.3333333333333333,0.18066958944002787,0.14265928621093432,0.21995830792188642
qwen2.5,11,0.37037037037037035,0.179913409948349,0.1414722876250744,0.22010362509886422
qwen2.5,12,0.4074074074074074,0.1768840761979421,0.13979707433780034,0.21501808741688727
qwen2.5,13,0.4444444444444444,0.18033727049827575,0.14231638675928115,0.21982268967231114
qwen2.5,14,0.48148148148148145,0.18291834950447083,0.1448817867835363,0.22251425223549207
qwen2.5,15,0.5185185185185185,0.18504904667536418,0.14565441980957985,0.22570181208848952
qwen2.5,16,0.5555555555555556,0.17925862590471903,0.14238723192612332,0.217694464157025
qwen2.5,17,0.5925925925925926,0.17877360224723815,0.1440758189360301,0.21552111094196638
qwen2.5,18,0.6296296296296297,0.17631909012794494,0.14267634638150536,0.21221254114309945
qwen2.5,19,0.6666666666666666,0.18187036832173664,0.1456799545089404,0.21983433178067208
qwen2.5,20,0.7037037037037037,0.17977843364079793,0.14259156067172687,0.2188010446826617
qwen2.5,21,0.7407407407407407,0.17523868123690287,0.13910377785563469,0.21293753570318222
qwen2.5,22,0.7777777777777778,0.1744673748811086,0.13847442330916723,0.21218466455737747
qwen2.5,23,0.8148148148148148,0.1679326585928599,0.13329382759332659,0.20471747627854348
qwen2.5,24,0.8518518518518519,0.16185798625151315,0.12726949586470923,0.1988167256861925
qwen2.5,25,0.8888888888888888,0.14963723162810008,0.11654670391480129,0.1851979232132435
qwen2.5,26,0.9259259259259259,0.1466041527191798,0.1135673144608736,0.18203076671063897
qwen2.5,27,0.9629629629629629,0.11260224958260855,0.08293474318583807,0.1433354517420133
qwen2.5,28,1.0,0.22624016125996907,0.1887475550969442,0.2639224286278089
tinyllama,1,0.0,0.13994518478711446,0.08864126429955171,0.19204379732410112
tinyllama,2,0.047619047619047616,0.1361330912510554,0.0878958213130633,0.18354701685905458
tinyllama,3,0.09523809523809523,0.1372847266991933,0.09209515245755513,0.1821776040593783
tinyllama,4,0.14285714285714285,0.13759655356407166,0.10042494803667068,0.17409724606076876
tinyllama,5,0.19047619047619047,0.12725413839022318,0.09584625159700712,0.1577115088999271
tinyllama,6,0.23809523809523808,0.14370458126068114,0.11002189591526985,0.17614446822802227
tinyllama,7,0.2857142857142857,0.14173508763313294,0.11138263285160066,0.17078739722569783
tinyllama,8,0.3333333333333333,0.13914035081863405,0.11361602850755056,0.16292131925622622
tinyllama,9,0.38095238095238093,0.1414817229906718,0.11614409584800403,0.16481417992711067
tinyllama,10,0.42857142857142855,0.1475565481185913,0.12332906189560891,0.16997176047166188
tinyllama,11,0.47619047619047616,0.14435732404390972,0.123302683254083,0.1639214808444182
tinyllama,12,0.5238095238095238,0.1456662106513977,0.12657483179370563,0.16457774846752485
tinyllama,13,0.5714285714285714,0.14370572566986084,0.1250141647954782,0.16229684915145237
tinyllama,14,0.6190476190476191,0.1414601409435272,0.12348083690802256,0.15919793852170308
tinyllama,15,0.6666666666666666,0.1348824985822042,0.11713141474127771,0.15201615013678868
tinyllama,16,0.7142857142857143,0.14647291580835978,0.12544809568921725,0.166405005633831
tinyllama,17,0.7619047619047619,0.154467214345932,0.13178215090433756,0.17616209685802459
tinyllama,18,0.8095238095238095,0.15525498628616333,0.13425870473186174,0.1757361725072066
tinyllama,19,0.8571428571428571,0.15510239839553833,0.13502433812618256,0.17474094092845915
tinyllama,20,0.9047619047619048,0.15724508126576742,0.1368235339721044,0.1769340641697248
tinyllama,21,0.9523809523809523,0.16401564359664916,0.14334323088328044,0.18410973530014357
tinyllama,22,1.0,0.205117803812027,0.1727556308309237,0.23634143685301143
